T,DO,S,pH,ORP,CR
25.9,6.71,30.1,5.1,378,16.4
29.35,6.09,29,6.3,400,16.9
27.9,6.18,31.5,7,363,15.57
24,7.95,30.2,8.1,324,13.65
28,5.05,31.4,9.2,240,13.24
27.87,6.55,31.68,7.2,356,14.06
28.27,6.98,28.2,6.6,384,15.47
29.37,6.82,30.12,6.2,414,17.11
24.27,0.8,32.56,8.1,171,3.61
27.45,2.6,35.37,7.96,287,7.94
27.48,5.9,32.39,7.83,331,10.578
28.75,6.8,32.22,8,340,11.43
28.52,8.4,32.1,8.01,345,12.52
28.45,9.9,31.95,7.93,309,22.64
24.73,6.06,17.33,7.88,321,11.446
24.51,7.02,32,8.16,308,12.553
23.65,6.51,41.34,7.67,245,8.402
16.74,7.11,33.55,8.25,178,10.85
21.11,6.03,33.44,8.03,295,11.448
25.57,6.7,32.19,8.09,325,11.872
31.16,4.38,33.21,7.94,242,8.924
25.62,34.89,5.32,7.9,385,15.966
24.95,16.29,6.8,7.82,341,12.12
24.5,18.37,5.31,7.93,302,12.07
25.59,21,7.04,7.95,244,11.4
26.11,34.84,2.82,7.8,335.2,11.288
24.96,40,6.32,8.08,254,9.3
9.5,32.31,4.26,8.2,195,10.56
12.05,32.04,4.95,8.17,232,11.04
14.86,32.51,6.3,7.95,198,11.06
28.13,34.34,5.14,7.8,362.9,13.93
24.17,16.09,7.68,8.04,283.8,11.55
23.54,15.04,8.27,8.06,243.8,11.72
25.31,15.22,7.59,9.32,246.7,11.39
12.55,37.9,6.42,7.49,235.3,10.52
16.81,39.49,6.61,7.73,258.7,10.24
24.09,36.72,5.59,7.83,281.8,9.93
26.34,35.97,3.25,7.98,367.1,14.37
25.35,16.94,4.05,8,341.2,15.07
26.07,35.34,4.07,7.94,404,18.13
26.52,34.48,4.94,7.9,326.1,11.828
27.32,3.21,29.31,8.2,281,12.91
30.7,7.15,31.74,6.5,401,16.28
27.23,4.2,31.94,7.89,289,9.63
23.95,7.61,9.17,8.04,231,10.94
24.6,7.52,24.42,7.57,210,11.83

